"ID_VIV","ID_PER","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","R_INF","SEL_D","SEL_M","N_REN","PAREN","SEXO","EDAD","NAC_D","NAC_M","COD","NIV","GRA","P3_8","P3_9","P3_10","P3_11","FAC_VIV","FAC_SEL","DOMINIO","UPM_DIS","EST_DIS"
"0100590.05","0100590.05.02","0100590","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","01","10","02","2","2","75","25","08","2","02","6","2","1","","2","5869.0367879303","0","U","0003","0003"
"0100822.01","0100822.01.01","0100822","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","01","1","1","45","14","07","2","08","5","2","1","","2","6662.06278039004","0","U","0004","0002"
"0100822.01","0100822.01.02","0100822","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","02","2","2","42","09","11","1","08","5","2","1","","2","6662.06278039004","13324.1255607801","U","0004","0002"
"0100822.03","0100822.03.01","0100822","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","28","09","01","1","2","69","09","03","1","02","6","2","5","4","","6662.06278039004","6662.06278039","U","0004","0002"
"0100822.04","0100822.04.01","0100822","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","01","1","1","61","26","12","1","03","3","2","6","4","","6662.06278039004","13324.1255607801","U","0004","0002"
"0100822.04","0100822.04.02","0100822","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","29","09","02","2","2","54","21","02","2","03","3","2","5","4","","6662.06278039004","0","U","0004","0002"
"0100822.05","0100822.05.01","0100822","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","03","30","09","01","1","1","57","19","12","2","02","2","2","1","","3","6662.06278039004","0","U","0004","0002"
"0100822.05","0100822.05.02","0100822","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","03","30","09","02","5","2","66","23","11","1","03","1","2","1","","3","6662.06278039004","19986.1883411701","U","0004","0002"
"0100822.05","0100822.05.03","0100822","05","01","AGUASCALIENTES","001","AGUASCALIENTES","01","03","30","09","03","2","2","49","26","04","2","03","3","2","1","","3","6662.06278039004","0","U","0004","0002"
"0100835.01","0100835.01.01","0100835","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","01","1","1","63","12","03","1","06","3","2","1","","2","6590.49346877575","13180.9869375515","U","0440","0001"
"0100835.01","0100835.01.02","0100835","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","26","09","02","2","2","52","06","07","2","06","3","2","1","","2","6590.49346877575","0","U","0440","0001"
"0100835.02","0100835.02.01","0100835","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","26","09","01","1","1","66","12","05","1","02","6","2","1","","2","6590.49346877575","6590.4934687758","U","0440","0001"
"0100835.03","0100835.03.01","0100835","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","01","1","1","34","07","06","2","09","3","2","1","","2","6590.49346877575","0","U","0440","0001"
"0100835.03","0100835.03.02","0100835","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","02","2","2","32","30","11","1","08","5","2","1","","2","6590.49346877575","19771.4804063273","U","0440","0001"
"0100835.03","0100835.03.03","0100835","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","01","27","09","03","5","2","34","26","12","2","08","5","2","1","","2","6590.49346877575","0","U","0440","0001"
