LON,LAT,EDO,CLAVE,ESTACION,dic-23
-96.929444,19.563333,VER,XSPVC,"Xalapa Sefiplan Protección Civil, Ver.",62.2
-96.894444,19.555833,VER,XSUVC,"Xalapa Sumidero, Ver.",75.81
-96.777778,19.863889,VER,YECVC,"Yecuatla, Ver.",159.5
-97.388889,19.413889,VER,ZALVC,"Zalayeta, Ver.",8
-89.681111,20.649444,YUC,ABAYC,"Abalá, Yuc.",98.5
-89.081667,20.463056,YUC,CANYC,"Cantamayec, Yuc.",104.4
-90.3825,20.858056,YUC,CELYC,"Celestún, Yuc. SMN*",14
-89.829444,20.752778,YUC,CHOYC,"Chocholá, Yuc.",228.1
-89.638056,21.03,YUC,CICYC,"Centro de Investigación Científica, Yuc.",41.2
-87.676667,21.5125,YUC,CYOYC,"El Cuyo, Yuc.",107.82
-89.642778,21.048889,YUC,FIYYC,"Facultad de Ingeniería Universidad Autónoma de Yucatán, Yuc.",46.3
-89.658056,20.984167,YUC,GARYC,"Organismo de Cuenca Península de Yucatán, Yuc.",29.62
-89.651111,20.946389,YUC,MEOYC,"Observatorio de Mérida, Yuc.",43.33
-89.4375,21.105556,YUC,MOCYC,"Mocochá, Yuc.",33.5
-89.291667,21.094167,YUC,MTOYC,"Motul, Yuc.",72.33
-89.711667,20.493333,YUC,MUNYC,"Muna, Yuc.",72.11
-89.394722,20.290556,YUC,OXKYC,"Oxkutzcab, Yuc.",110.53
-88.930833,20.1325,YUC,PETYC,"Peto, Yuc.",101.04
-89.653889,21.275833,YUC,PROYC,"Observatorio de Progreso, Yuc.",74
-89.558056,20.397778,YUC,TICYC,"Ticul, Yuc.",45
-88.1725,21.158611,YUC,TIZYC,"Tizimín, Yuc.",21.33
-88.204167,20.69,YUC,VALYC,"Observatorio de Valladolid, Yuc.",27.5
-103.459167,21.811389,ZAC,ATGZC,"Atolinga, Zac.",17.02
-102.896111,21.997222,ZAC,CHIZC,"El Chique, Zac.",29.3
-101.389167,24.621389,ZAC,CORZC,"Concepción del Oro, Zac.",1
-103.098333,23.693333,ZAC,ELCZC,"El Cazadero, Zac.",20.13
-102.040833,22.673056,ZAC,ELSZC,"El Saladillo, Zac.",15
-103.35,21.645833,ZAC,EXCZC,"Miguel Alemán, Zac.",24.32
-102.506667,22.746667,ZAC,GPEZC,"Guadalupe, Zac.",14.12
-102.566944,22.778889,ZAC,LBUZC,"Observatorio de Zacatecas, Zac.",29.1
-102.660556,22.996944,ZAC,LLBZC,"Llano Blanco, Zac.",21.81
-103.382778,22.845278,ZAC,LOBZC,"Manuel Felgueres, Zac.",36.4
-103.216944,23.18,ZAC,LREZC,"Gobernador Leobardo Reynoso, Zac.",31.23
-103.443056,24.287222,ZAC,MGAZC,"Miguel Auza, Zac.",2.21
-102.845556,21.3575,ZAC,NCTZC,"Nochistlán, Zac.",65.9
-102.798056,22.347778,ZAC,PALZC,"Palomas, Zac.",25.31
-101.399167,22.1175,ZAC,PINZC,"Pino Suárez, Zac.",86.2
-102.903611,21.711111,ZAC,PMOZC,"Los Moraleños, Zac.",43.01
-103.025833,23.816944,ZAC,RGRZC,"Río Grande, Zac.",24
-102.884444,24.322222,ZAC,SFOZC,"San Francisco, Zac.",0
-103.506111,24.288611,ZAC,SGOZC,"Santiago, Zac.",2.05
-103.636667,23.638889,ZAC,SOMZC,"Observatorio de Sombrerete, Zac.",39.81
-103.495833,22.326667,ZAC,STEZC,"Independencia Nacional, Zac.",20.81
-103.108889,22.923611,ZAC,STRZC,"Santa Rosa, Zac.",33.65
-102.864167,22.120556,ZAC,TAYZC,"Ing. Julián Adame Alatorre, Zac.",39.92
-103.879722,23.471944,ZAC,TCHZC,"Chalchihuites, Zac.",39
-103.309444,21.773611,ZAC,TLLZC,"Tlaltenango, Zac.",41.31
-101.715833,22.3475,ZAC,VHGZC,"Villa Hidalgo, Zac.",35.02
-103.3375,21.588889,ZAC,VILZC,"José María Morelos, Zac.",28.4
-102.506111,22.746667,ZAC,ZA2ZC,"Zacatecas, Zac. SMN*",10.61
-102.576667,22.761389,ZAC,ZACZC,"Zacatecas, Zac.",16.82
