LON,LAT,EDO,CLAVE,ESTACION,mar-23
-92.976944,17.980278,TAB,POSTA,"La Posta, Tab. SGT*",121
-92.92,17.75,TAB,LOSAGAVES,"Los Agaves, Tab. SGT*",67.5
-92.6,17.766667,TAB,MACTB,"Macuspana, Tab.",86.2
-92.6,17.766667,TAB,MACUSPANAHM,"Macuspana, Tab. SGT*",82.5
-93.316111,17.954444,TAB,MEZCALAPA,"Mezcalapa, Tab. SGT*",87
-92.929444,17.98,TAB,OBSTB,"Observatorio de Villahermosa, Tab.",124.4
-92.75,17.380556,TAB,OXOTB,"Oxolotán, Tab.",114.4
-93.33,18.42,TAB,PARAISO,"Paraíso SMN, Tab.",317.5
-93.390278,17.769167,TAB,PAREDON,"Paredón HC, Tab. SGT*",66
-93.622778,18.175,TAB,POBLADOC11,"Poblado C11, Tab. SGT*",136.8
-92.877222,18.010833,TAB,PORVENIR,"Porvenir, Tab. SGT*",98.6
-92.879167,17.854167,TAB,PNVTB,"Pueblo Nuevo, Tab.",97.7
-92.9375,17.566667,TAB,PUYTB,"Puyacatengo, Tab.",254.1
-93.275556,17.996944,TAB,SAMTB,"Samaria, Tab.",117.8
-93.283333,18,TAB,SAMARIA,"Samaria, Tab. SGT*",122.9
-91.158333,17.791667,TAB,SPTTB,"San Pedro, Tab.",39.4
-92.778611,17.456944,TAB,TAPTB,"Tapijulapa, Tab.",51.5
-93.02,18.25,TAB,TECOLUTA,"Tecoluta SGT, Tab.",328.3
-92.333889,17.840556,TAB,TEPETITAN,"Tepetitán, Tab. SGT*",27.3
-92.96,17.96,TAB,VIEJOMEZCALAPA,"Viejo Mezcalapa, Tab. SGT*",190.2
-92.916667,17.98,TAB,EMUTB,"Villahermosa Muelle, Tab.",124.4
-98.39,24.065556,TAMPS,ABSTP,"Abasolo, Tamps.",69.2
-98.370556,24.046667,TAMPS,ABASOLO,"Abasolo, Tamps. SGT*",69.2
-99.148889,22.986944,TAMPS,AHLTP,"Ahualulco, Tamps.",44.11
-97.876111,22.238333,TAMPS,BTCHAIREL,"Boca Toma Chairel, Tamps. SGT*",1.5
-97.926944,22.386111,TAMPS,BALTP,"Bombas Altamira, Tamps.",2.72
-98.814167,25.030833,TAMPS,CNDTP,"Cándido Aguilar, Tamps.",3.6
-99.1875,23.730278,TAMPS,CVTTP,"Ciudad Victoria, Tamps.",7.42
-97.817778,25.966389,TAMPS,CONTP,"Control, Tamps.",88.51
-98.935833,23.939167,TAMPS,CORTP,"Corona, Tamps.",4.1
