LON,LAT,EDO,CLAVE,ESTACION,jul_23
-101.661111,19.926111,MICH,AMEMC,"Aristeo Mercado, Mich.",97.3
-102.371111,19.083056,MICH,APTMC,"Apatzingán, Mich.",251.81
-102.419167,20.183889,MICH,BIBMC,"Barraje de Ibarra, Mich.",149.6
-102.265278,19.973611,MICH,CHAMC,"Chaparaco, Mich.",94.01
-100.55,19.7,MICH,CHIMC,"Ciudad Hidalgo, Mich.",168.54
-101.259167,19.629722,MICH,COIMC,"Coíntzio, Mich.",194.81
-101.861667,20.207222,MICH,CORMC,"Corrales, Mich.",74.12
-100.421111,19.387778,MICH,DBOMC,"El Bosque, Mich.",188.51
-102.541389,19.979167,MICH,GUAMC,"Guaracha, Mich.",122.9
-101.883333,18.266667,MICH,INFMC,"Infiernillo, Mich.",69.41
-100.406389,19.838056,MICH,LDFMC,"Laguna del Fresno, Mich.",113.6
-102.865556,19.210833,MICH,LOLMC,"Los Olivos, Mich.",246.5
-102.751389,20.146667,MICH,LPAMC,"La Palma, Mich.",4.8
-102.004444,20.354444,MICH,LPDMC,"La Piedad, Mich.",91.84
-102.2,18.8,MICH,LPSMC,"La Pastoría, Mich.",96.12
-101.1,19.7,MICH,MCEMC,"Morelia Centro, Mich.",100.02
-100.873611,19.829167,MICH,MLPMC,"Malpaís, Mich.",122.81
-101.2,19.7,MICH,MNOMC,"Morelia Norte, Mich.",107.33
-101.724444,20.127222,MICH,MOCMC,"Melchor Ocampo, Mich.",98.99
-101.176111,19.688611,MICH,MORMC,"Observatorio de Morelia, Mich.",116.12
-100.439167,19.890833,MICH,MRVMC,"Maravatío, Mich.",125.2
-101.05,19.49,MICH,PDBMC,"Planta de Bombeo, Mich.",105.05
-101.102778,18.538889,MICH,PINZANESCFE,"Pinzanes, Mich. CFE*",107.8
-101.6,20.3,MICH,PORMC,"Pastor Ortiz, Mich.",114.03
-102.136944,19.961389,MICH,PUREPETIRO,"Presa Urepetiro, Mich. SGT*",143.4
-102.716667,20.066667,MICH,SAHMC,"Sahuayo, Mich.",113.5
-102.464722,20.208333,MICH,SCRMC,"San Cristóbal, Mich.",144.01
-102.651389,19.839444,MICH,SJUMC,"San Juanico, Mich.",109
-102.4,20.1,MICH,SSIMC,"San Simón, Mich.",100
-100.229167,20.000278,MICH,TEPMC,"Tepuxtepec, Mich.",143.1
-102.137778,19.962222,MICH,UREMC,"Urepetiro, Mich.",164.43
-102.180278,18.048333,MICH,VILMC,"José María Morelos y Pavón, Mich.",233
-101.45,19.55,MICH,VJIMC,"Villa Jiménez, Mich.",155
-102.283333,20.333333,MICH,YURECUARO,"Yurécuaro, Mich. SGT*",23.8
-102.242222,20.339444,MICH,YURMC,"Yurécuaro, Mich.",104.51
-102.284167,20.006667,MICH,ZAMMC,"Observatorio de Zamora, Mich.",129.81
-101.931944,18.921111,MICH,ZICMC,"Zicuirán, Mich.",89.4
-98.829167,18.947222,MOR,ACHMR,"Achichipico, Mor.",158.5
-99.258056,18.734722,MOR,ALUMR,"Alpuyeca, Mor.",153.1
-99.376944,18.596111,MOR,AMCMR,"Amacuzac, Mor.",199.7
-98.771111,18.755278,MOR,AMIMR,"Amilcingo, Mor.",165.1
-99.463611,18.68,MOR,APAMR,"Apacingo, Mor.",207.33
-98.928056,18.948889,MOR,ATLMR,"Atlatlahucan, Mor.",176.4
-98.955278,18.850556,MOR,CASMR,"Casasano, Mor.",152.62
-98.948889,18.808611,MOR,CUAMR,"Cuautla, Mor.",119.18
-99.2,18.9,MOR,CUEMR,"Cuernavaca, Mor.",143.02
-99.375556,18.701667,MOR,CUTMR,"Cuautlita, Mor.",279.74
-98.786667,18.690556,MOR,ELPMR,"El Peñón, Mor.",189.4
-98.967222,18.881944,MOR,ETAMR,"E.T.A. 118, Mor.",114.21
-99.424167,18.608333,MOR,HUAMR,"Huajintlán, Mor.",196.5
-99.265,19.028889,MOR,HUIMR,"Huitzilac, Mor.",346.51
-99.158611,18.883611,MOR,IMTMR,"Instituto Mexicano de Tecnología del Agua, Mor. SMN*",87.18
-98.8,18.7,MOR,JNCMR,"Jonacatepec, Mor.",236
-99.2,18.6,MOR,JOJMR,"Jojutla, Mor.",167.1
-99.4,18.7,MOR,MIAMR,"Miacatlán, Mor.",148
