clave,lat,lon,estacion,edo,abr-23
MAROX,-95.483333,17.45,MarÌa Lombardo,OAX,54.44
MATTP,-97.522778,25.833333,Matamoros,TAMPS,67.81
MAYPB,-98.231111,19.010556,Mayorazgo 21 Poniente,PUE,29.501
MCEMC,-101.1,19.7,Morelia Centro,MICH,3.5
MCHGR,-99.369167,17.471111,Mochitl·n,GRO,11.5
MCHSI,-109,25.8,Los Mochis,SIN,0
MDRTP,-97.844167,22.283889,Madero,TAMPS,21.4
MDTVC,-97.048333,20.0675,MartÌnez de la Torre,VER,360.4
MEOYC,-89.651111,20.946389,Observatorio de MÈrida,YUC,0
MFAVC,-96.333333,19.15,Manlio Fabio Altamirano,VER,15.53
MGATP,-99.040833,26.374167,S-J-1-2 Miguel Alem·n,TAMPS,91.41
MGAZC,-103.443056,24.287222,Miguel Auza,ZAC,4
MGSTP,-98.705556,22.795833,MagiscatzÌn Dos,TAMPS,74.91
MHGTP,-99.434444,24.2525,Miguel Hidalgo,TAMPS,68.5
MIAMR,-99.4,18.7,Miacatl·n,MOR,3.7
MICHILIA,-104.246944,23.387778,La Michilia SMN,DGO,0.2
MICSL,-99.159444,22.12,Micos,SLP,96.41
MLGBS,-111.983056,26.896111,MulegÈ,BCS,0
MLPDF,-99.026944,19.187222,Milpa Alta,DF,19.63
MLPMC,-100.873611,19.829167,MalpaÌs,MICH,0.01
MNLAG,-102.788333,21.8075,Media Luna,AGS,0
MNOMC,-101.2,19.7,Morelia Norte,MICH,0.4
MNZCM,-104.318611,19.044444,Observatorio de Manzanillo,COL,0
MOCMC,-101.724444,20.127222,Melchor Ocampo,MICH,0
MOCYC,-89.4375,21.105556,Mococh·,YUC,0
MORMC,-101.176111,19.688611,Observatorio de Morelia,MICH,0.01
MPMDR,-103.85,25.816667,MapimÌ,DGO,0
MRGTP,-98.925556,26.204722,Marte Rodolfo GÛmez,TAMPS,41.6
MRVMC,-100.439167,19.890833,MaravatÌo,MICH,0
MTOYC,-89.291667,21.094167,Motul,YUC,0
MUNYC,-89.711667,20.493333,Mun·,YUC,0
MXCBN,-115.27,32.39,Mexicali,BC,0
MXQHD,-99.218611,20.2375,Mixquiahuala,HGO,7.03
MYOMR,-99.004722,18.727222,Moyotepec,MOR,0.01
MZNVC,-96.833333,19.933333,Misantla,VER,252.16
MZTSI,-106.4,23.233333,Observatorio de Mazatl·n,SIN,0
MZTSO,-110.137778,29.003611,Mazat·n,SON,0
NAOVC,-96.872222,19.65,Naolinco,VER,33.44
NCTZC,-102.845556,21.3575,Nochistl·n,ZAC,0
NCZSO,-109.6875,30.374444,Observatorio de Nacozari,SON,0
NEVADOCOLIMA,-103.590833,19.592222,Nevado de Colima SMN,JAL,0
NEVMX,-99.683333,19.116667,Nevado de Toluca SMN,M…X,24.11
NEXMR,-99.140833,18.519444,Nexpa,MOR,8.1
NGLSO,-110.947222,31.318889,Nogales,SON,0
NGRAG,-102.371667,21.78,El Ni·gara,AGS,0
NNEPB,-98.000556,20.216667,Necaxa,PUE,84.6
NRJSL,-99.32,22.523333,Naranjos,SLP,48.7
NVJSO,-109.443333,27.071944,Navojoa,SON,0
NYNSO,-112.85,31.866667,Sonoyta,SON,0
NYXCA,-90.221389,19.605833,Noh-YaxchÈ,CAMP,4.3
OACMR,-99.031389,18.923333,Oacalco,MOR,2.03
OACOX,-96.733333,17.066667,Oaxaca Centro,OAX,39.91
OAOOX,-96.7,17.001389,Observatorio de Aeropuerto Oaxaca,OAX,0.5
OAXMR,-98.901389,18.900556,Oaxtepec,MOR,18
OBSMR,-99.219167,18.908889,Observatorio de Cuernavaca,MOR,10.03
OBSQT,-100.366667,20.566667,Observatorio de QuerÈtaro,QRO,0
OBSSI,-107.440556,24.634722,Observatorio de Culiac·n,SIN,0
OBSTL,-98.246944,19.324722,Observatorio de Tlaxcala,TLAX,18.8
OCAZC,-102.269444,22.577778,Ojo Caliente,ZAC,0
OCMGJ,-101.48,21.65,Ocampo,GTO,0
OCTMR,-98.758611,18.8825,Ocuituco,MOR,5
ODAGR,-99.799722,16.8,Observatorio de Acapulco,GRO,0
ODZGR,-99.5,17.6,Observatorio de Zumpango,GRO,5.3
OJNCH,-104.410833,29.565,Ojinaga,CHIH,0
OLMJL,-101.916667,21.366667,Observatorio de Lagos de Moreno,JAL,0.4
OLNGR,-98.735,17.777222,Olinal·,GRO,4.01
OLVVC,-98.5125,21.840278,El Olivo,VER,64.3
OMEGR,-98.433333,16.683333,Ometepec,GRO,0
ORZHD,-98.6,21.166667,San Felipe Orizatl·n,HGO,21
ORZVC,-97.1,18.85,Observatorio de Orizaba,VER,93.83
OSTOX,-94.4,16.5,Ostuta,OAX,0
OTIVC,-96.97,19.55,Otilpan,VER,93.7
OXKYC,-89.394722,20.290556,Oxkutzcab,YUC,1
OXOTB,-92.75,17.380556,Oxolot·n,TAB,56.3
OYAPB,-97.533333,19.7,Oyameles,PUE,9.019
P50ANIV,-102.465,22.189167,Presa Cincuenta Aniversario SMN,AGS,7.4
PADTP,-98.9,24.05,Padilla,TAMPS,72.8
PAGCH,-105.254167,26.546389,Pico del ¡guila,CHIH,3
PAGDR,-104.656667,24.203889,PeÒa del ¡guila,DGO,0.01
PALZC,-102.798056,22.347778,Palomas,ZAC,3.5
PANTP,-97.8,25.8,Pueblo An·huac,TAMPS,84.92
PAPMR,-99.433333,18.8675,Palpan,MOR,4
PAPOX,-96.083333,18.166667,Papaloapan,OAX,71.24
PAREDON,-93.390278,17.769167,ParedÛn HC SGT,TAB,1.2
PARQUEOTE,-93.087778,16.760278,Parque Oriente SGT,CHIS,0
PB3VC,-94.3775,18.103611,Planta de Bombeo 3 de La Cangrejera,VER,66.5
PCNVC,-94.193611,17.872778,Planta de Bombeo 1 de La Cangrejera,VER,32.01
PCOHD,-98.7475,20.123333,Observatorio de Pachuca,HGO,8.61
PCRPB,-97.251389,18.918056,Paso Carretas,PUE,39
PDBMC,-101.05,19.49,Planta de Bombeo,MICH,0
PDCQR,-87.077778,20.634444,Playa del Carmen,QROO,98.5
PDMBN,-114.729444,32.703889,Presa derivadora Morelos,BC,0
PDMTP,-98.745833,23.726667,Paso de Molina,TAMPS,58.5
PDNSO,-109.083333,29.433333,Paso N·cori,SON,0
PECAG,-102.417222,22.141111,Plutarco ElÌas Calles,AGS,4.5
PECSO,-109.642222,28.976667,Plutarco ElÌas Calles,SON,0
PEMVC,-97.814444,21.184444,El Moralillo,VER,175.8
PENCP,-93.458611,17.446111,¡ngel Albino Corzo,CHIS,0
PERGJ,-101.111389,20.5225,Pericos,GTO,0
PERHD,-98.334722,20.0575,La Esperanza,HGO,17.3
PETGR,-99.45,17.483333,Petaquillas,GRO,24.5
PETYC,-88.930833,20.1325,Peto,YUC,0.01
PFBMX,-99.790278,19.829167,Francisco JosÈ Trinidad Fabela,M…X,24.9
PILTP,-99.019167,24.208056,PilÛn,TAMPS,52.7
PINZC,-101.399167,22.1175,Pino Su·rez,ZAC,5.5
PIRMX,-99.775,19.461667,Ignacio RamÌrez,M…X,24.01
PIXMR,-99.322778,18.633333,Puente de Ixtla,MOR,6.53
PIXPB,-98.264722,18.2,Piaxtla,PUE,0.003
PJMTP,-99.555833,24.2475,Pedro JosÈ MÈndez,TAMPS,77.1
PLNBS,-109.934167,23.9675,Los Planes,BCS,0
PLZCA,-92.086944,18.253056,Palizada,CAMP,9.5
PMDMX,-99.260833,19.526944,MadÌn,M…X,8.8
PMHSI,-108.58,26.509722,Miguel Hidalgo,SIN,0
PMLQT,-99.815,21.055833,PeÒamiller,QRO,16.31
PMNMX,-99.739722,20.124167,El Molino,M…X,11.2
PMOSO,-110.725556,29.2125,Ing. Rodolfo FÈlix ValdÈs,SON,0
PMOZC,-102.903611,21.711111,Los MoraleÒos,ZAC,0
PNCVC,-98.176667,22.06,P·nuco,VER,51.81
PNDMX,-99.864444,20.038611,—adÛ,M…X,20.35
PNTCM,-103.8125,19.3275,PeÒitas,COL,0
PNVTB,-92.879167,17.854167,Pueblo Nuevo,TAB,15.9
POLJL,-102.231944,20.491111,Ing. Guillermo Lugo Sanabria,JAL,0
PORMC,-101.6,20.3,Pastor OrtÌz,MICH,0
POZARICA,-97.475,20.543333,Poza Rica SGT,VER,136.2
POZGJ,-100.496111,21.22,Pozos,GTO,12
PPJMENDEZ,-99.554444,24.236667,Presa Pedro JosÈ Mendez SGT,TAMPS,6.82
PPNVC,-97.316667,20.45,Papantla,VER,188.42
PRCVC,-97.478333,20.540833,Poza Rica,VER,149.72
PREMX,-99.268056,19.524444,Presa MadÌn SMN,M…X,0
PRGHD,-99.329444,20.359722,Javier Rojo GÛmez,HGO,21.02
PROMR,-99.156944,18.771111,Progreso,MOR,10.61
PROYC,-89.653889,21.275833,Observatorio de Progreso,YUC,0
PRQHD,-99.310833,19.963056,RequeÒa,HGO,18.01
PRRCH,-105.675556,26.917778,Observatorio de Parral,CHIH,17.4
PRSGJ,-101.287778,20.867222,La PurÌsima,GTO,0
PSNVC,-98.356667,21.297778,PlatÛn S·nchez,VER,152.8
PT2SO,-113.550833,31.352778,Observatorio de Puerto PeÒasco,SON,0
PTAOX,-96.483333,15.666667,Observatorio de Puerto ¡ngel,OAX,0
PTASO,-110.308333,28.472222,Punta de Agua 2,SON,0
PTE4CAMINOS,-96.665,19.043333,Puente Cuatro Caminos SGT,VER,6.2
PTEMORELOS,-92.649167,16.725278,Puente Morelos SGT,CHIS,10.4
PTLPB,-97.883333,20.233333,Patla,PUE,110.5
PTRAG,-102.4375,22.235,Derivadora PabellÛn,AGS,0.5
PUCMC,-100.684167,19.621389,Pucuato,MICH,0
PUJSL,-98.939722,21.847222,El Pujal,SLP,68.2
