clave,lat,lon,estacion,edo,abr-23
ABAYC,-89.681111,20.649444,Abal·,YUC,0
ABSGJ,-101.536667,20.446944,Abasolo,GTO,0
ABSTP,-98.39,24.065556,Abasolo,TAMPS,60.6
ACACP,-92.804167,16.552778,Acala,CHIS,0
ACAGR,-99.906667,16.849722,Acapulco,GRO,0
ACANR,-105.354167,22.49,Acaponeta,NAY,0
ACAVC,-96.843889,19.695833,Acatl·n,VER,61.55
ACHPB,-97.418056,19.45,Alchichilca,PUE,11.709
ACHZC,-103.225278,22.327222,Achimec,JAL,0
ACJPB,-97.934167,19.0625,Acajete,PUE,62.4
ACNGJ,-100.712222,20.0325,Ac·mbaro,GTO,0.03
ACNSO,-110.226111,29.825,Aconchi,SON,0
ACTHD,-98.941667,20.268056,Actopan,HGO,0
ACTSI,-106.654167,24.047222,Acatit·n,SIN,0
ACTVC,-96.5875,19.495,Actopan,VER,20.53
ADOPB,-98.055,18.277222,Acatl·n de Osorio,PUE,24.301
AEGGJ,-100.683333,20.533333,Apaseo el Grande,GTO,0
AERGR,-99.516944,17.576389,Observatorio de Chilpancingo Aeropuerto,GRO,9.7
AFIGR,-100.5175,18.075833,AndrÈs Figueroa,GRO,0.01
AFRPB,-98.135833,18.9425,Africam,PUE,37.8
AGDVC,-94.144444,18.141667,Agua Dulce,VER,23
AGMNR,-104.802222,21.839167,Aguamilpa Solidaridad,NAY,0
AGOMC,-100.608889,19.579722,Agostitl·n,MICH,0.7
AGZCH,-107.482778,28.481667,Abraham Gonz·lez,CHIH,0
AHAPB,-97.920833,18.854167,Ahuatepec,PUE,43
AHUGR,-98.975278,17.719722,Ahuacuotzingo,GRO,7.4
AHUPB,-98.148056,20.033056,Ahuazontepec,PUE,34.3
AJJJL,-102.436944,21.599444,Ajoj˙car,JAL,0
AJTSL,-98.558333,21.972222,Las Adjuntas,SLP,32.1
ALAVC,-97.68,20.93,¡lamo Temapache,VER,112.01
ALMSI,-107.388333,25.101389,Adolfo LÛpez Mateos,SIN,0
ALRBN,-116.908333,32.444722,Abelardo L. RodrÌguez,BC,0
ALTAMIRANO,-92.034722,16.737778,Altamirano SGT,CHIS,43.2
ALTSO,-111.733333,30.716667,Observatorio de Altar,SON,0
ALTVC,-97.234722,19.7625,Altotonga,VER,158.23
ALUMR,-99.258056,18.734722,Alpuyeca,MOR,7.3
AMCGJ,-100.5825,20.553889,Ameche,GTO,0
AMCMR,-99.376944,18.596111,Amacuzac,MOR,18.2
AMSCL,-101.057222,29.446944,Internacional La Amistad,COAH,1.5
ANGCP,-92.778889,16.401389,Doctor Belisario DomÌnguez,CHIS,0.1
APAPB,-97.845,20.406944,Apapantilla,PUE,268
APITL,-98.131111,19.428611,Apizaco,TLAX,36
APSGJ,-100.620833,20.454167,Apaseo el Alto,GTO,2
APTMC,-102.371111,19.083056,Apatzing·n,MICH,0
ARCSO,-109.106667,27.226111,Adolfo RuÌz Cortines,SON,0
ARCVC,-95.4375,18.583333,¡ngel Rosario Cabada,VER,5.72
ARISO,-109.088611,30.07,Aribabi,SON,0
ARLSO,-110.92,29.076667,Abelardo RodrÌguez Luj·n,SON,0
AROCP,-93.8975,16.241111,Observatorio de Arriaga,CHIS,0
ARZSO,-110.1675,30.335833,Arizpe,SON,0
ATBGJ,-101.625556,20.499167,Agua Tibia,GTO,0
ATCHD,-98.348056,21.019444,Atlapexco,HGO,156.5
ATGZC,-103.459167,21.811389,Atolinga,ZAC,0
ATLMR,-98.928056,18.948889,Atlatlahucan,MOR,6.7
ATQJL,-103.091944,20.397222,Atequiza,JAL,0
ATXPB,-98.420833,18.921111,Atlixco,PUE,89.3
ATYGR,-100.433333,17.210278,Atoyac,GRO,1.3
AVCPB,-97.881111,20.385833,¡vila Camacho,PUE,289.01
AWSSI,-107.466667,25.033333,Andrew Weiss,SIN,0
AYUGR,-99.1,16.949444,Ayutla,GRO,0.3
AYUOX,-96.1,17.016667,Ayutla,OAX,38.7
BAABN,-113.560278,28.896389,BahÌa de los ¡ngeles SMN,BC,0
BALTP,-97.926944,22.386111,Bombas Altamira,TAMPS,23.81
BANVC,-96.944444,19.588889,Banderillas,VER,182
BATQT,-100.412222,20.504167,El Bat·n,QRO,0
BBAJL,-104.061111,19.913611,Basilio Vadillo,JAL,0
BCNSO,-110.238611,30.598889,Bacanuchi,SON,0
BCSJL,-103.724444,22.406111,Bocas,JAL,0.7
BDCTB,-91.483333,17.433333,Boca del Cerro,TAB,5.4
BDDPB,-98.108611,18.9125,Manuel ¡vila Camacho,PUE,26.011
BDRSI,-107.5375,25.333333,Badiraguato,SIN,0
BEGGJ,-100.816667,20.833333,La BegoÒa hidromÈtrica,GTO,0.01
BIBMC,-102.419167,20.183889,Barraje de Ibarra,MICH,0
BLMSL,-98.955833,21.748889,Ballesmi,SLP,88.3
BLNJL,-103.782778,21.831667,BolaÒos,JAL,0
BNMSO,-110.215,30.003611,Banamichi,SON,0
BOQCP,-93.15,16.641944,BoquerÛn,CHIS,1
BOQOX,-95.929167,16.647222,Boquilla 1,OAX,11.7
BR1TP,-99.123056,24.080556,El Barretal 1,TAMPS,124.6
BRIVC,-96.933333,19.483333,Briones,VER,117.91
BRRGJ,-101.838333,21.048611,El Barrial,GTO,0
BRRTP,-99.215,24.1025,El Barretal,TAMPS,103.2
BSSCH,-108.206389,28.208889,Basaseachi,CHIH,0
BTCHAIREL,-97.876111,22.238333,Boca Toma Chairel SGT,TAMPS,18.7
BTEZC,-102.953333,22.824167,RamÛn LÛpez Velarde,ZAC,0
BVSCM,-103.613056,19.2475,Buenavista,COL,0
BVSGR,-99.400833,18.459444,Buenavista,GRO,16
CACCP,-92.716667,15.35,Cacaluta,CHIS,3.6
CAGCH,-107.930833,30.376667,Casas Grandes,CHIH,0
CALGR,-100.664444,18.359444,Ciudad Altamirano,GRO,1.5
CALVILLO,-102.712222,21.849167,Calvillo SMN,AGS,0
CANCA,-90.575556,19.295,Canasayab,CAMP,0
CANQR,-86.820278,21.156667,Canc˙n,QROO,0
CANYC,-89.081667,20.463056,Cantamayec,YUC,0
CARCA,-91.761389,18.654167,El Carmen,CAMP,8.4
CARQT,-100.435556,20.604167,Carrillo,QRO,0
CARTB,-93.376389,18.001111,C·rdenas,TAB,14.6
CASCAJAL,-92.4875,16.308333,Cascajal SGT,CHIS,3.2
CASCP,-92.479167,16.308333,Cascajal,CHIS,16.4
CATARINITAS,-92.483056,15.969167,Catarinitas SGT,CHIS,4.4
CB2VC,-94.253889,17.954444,Planta de Bombeo 2 de La Cangrejera,VER,39
CBIDF,-99.171667,19.453333,Escuela Nacional de Ciencias BiolÛgicas IPN SMN,DF,3.29
CBLMC,-101.461389,20.324167,Casa Blanca,MICH,0.8
CBRDR,-104.810278,24.538333,Caboraca,DGO,5.7
CCHGR,-99.701111,17.672222,Chichihualco,GRO,4
CCLVC,-95.8,18.3,Chacaltianguis,VER,91.2
CCRSO,-109.625,27.416667,Cocoraque,SON,0
CDACL,-100.950278,29.327778,Ciudad AcuÒa,COAH,0.01
CDBGR,-100.089444,17.008889,Coyuca de BenÌtez,GRO,0
CDCUAUHTEMOC,-106.84,28.396667,Ciudad CuauhtÈmoc SMN,CHIH,0.6
CDCVC,-96.994444,19.332778,Cosautl·n de Carvajal,VER,148.5
CDLCH,-105.446944,28.210833,Ciudad Delicias,CHIH,0
CDOCM,-103.725556,18.758611,Cerro de Ortega,COL,0
CDOOX,-96.263611,17.999167,Miguel de la Madrid Hurtado,OAX,141.9
CDOTP,-98.5975,26.238056,S-J-2-18 Ciudad DÌaz Ordaz,TAMPS,162.6
CDRAG,-102.676944,21.9975,La Codorniz,AGS,0
CDSPB,-97.441667,18.987222,Ciudad Serd·n,PUE,50.5
CDVSL,-99.016667,21.983333,Ciudad Valles,SLP,118
CEGVC,-96.697778,19.433056,Cerro Gordo,VER,38.8
CEMPB,-97.958333,18.968889,Cemex,PUE,115
CENTRO2APTE,-93.117222,16.757778,Centro Segunda Poniente SGT,CHIS,0
CGCMX,-99.511667,19.205,Gerencia Conagua CODAGEM,M…X,39
CGZJL,-103.465278,19.697778,Observatorio de Ciudad Guzm·n,JAL,0
CHICH,-108.535556,27.392222,ChÌnipas SMN,CHIH,0
CHICOMUSELO,-92.281389,15.750278,Chicomuselo SGT,CHIS,0
CHICP,-93.100556,16.941667,Manuel Moreno Torres,CHIS,0.1
CHIGR,-99.5,17.545278,Chilpancingo,GRO,14.3
CHIMC,-100.55,19.7,Ciudad Hidalgo,MICH,0
CHIOX,-94.816667,16.583333,Chicapa,OAX,0
CHIPB,-98.579167,18.516111,Chietla,PUE,7.503
CHIZC,-102.896111,21.997222,El Chique,ZAC,0
CHLGR,-99.175833,17.608611,Chilapa,GRO,6.3
CHLMC,-102.774167,19.287778,ConstituciÛn de Apatzing·n,JAL,0
CHLPB,-98.318056,19.068611,Cholula,PUE,22.5
CHMCA,-90.72,19.361667,ChampotÛn,CAMP,0
CHMCP,-92.283333,15.75,Chicomuselo,CHIS,0
CHMVC,-96.853611,18.563333,Chicomapa,VER,36.1
CHNCH,-106.770556,26.229444,Chinat˙ SMN,CHIH,0
CHNCM,-103.702778,19.295,El Chanal,COL,0
CHOQR,-88.3275,18.500556,Observatorio de Chetumal,QROO,43.12
CHOYC,-89.829444,20.752778,Chochol·,YUC,0
CHSPB,-98.567778,18.109722,Chila de la Sal,PUE,0.1
CHTSO,-111.516389,30.873333,CuauhtÈmoc,SON,0
CHUCH,-106.167778,28.570556,Chihuahua,CHIH,0
CHXSI,-108.329167,26.736111,Observatorio de Choix,SIN,0
CHYVC,-98.155833,21.7375,Paso de Piedras,VER,35.1
CICYC,-89.638056,21.03,Centro de Investigacion CientÌfica,YUC,0
CIHJL,-104.566667,19.233333,Cihuatl·n,JAL,0
CJZCH,-106.400278,31.736667,Ciudad Ju·rez,CHIH,0
CLCSI,-107.4,24.816667,Culiac·n,SIN,0
CLLCM,-103.626111,18.826389,Callejones,COL,0
CLNCH,-105.382222,27.576389,Ing. Andrew Weiss,CHIH,1
CLRDR,-103.521667,25.533333,Ciudad Lerdo,DGO,0
CLYGJ,-100.816667,20.536389,Celaya,GTO,0
CMLCM,-103.757222,19.3175,Comala,COL,0
CMNMC,-100.9,18.5,Caimanera,MICH,0.01
CMPCA,-90.544167,19.838333,Campeche,CAMP,0
CMRTP,-99.148611,26.430556,Mier,TAMPS,45.72
CNAPB,-98.198611,19.022778,Conagua,PUE,47.5
CNCDR,-103.698889,24.871944,CuencamÈ,DGO,0
CNDCA,-91.046111,18.183056,Candelaria,CAMP,2.7
CNDCH,-108.541667,27.416667,ChÌnipas,CHIH,0
CNGPB,-98.049722,19.743333,Chignahuapan,PUE,23.903
CNLGR,-98.411944,16.47,Cuajinicuilapa,GRO,0
CNPMX,-99.304444,19.695,La ConcepciÛn,M…X,24.8
CNSQT,-100.080278,20.418611,ConstituciÛn de 1917,QRO,12.7
CNTCL,-100.95,29.213611,El Centenario,COAH,0
COAPB,-98.164722,18.612778,Coatzingo,PUE,8.201
COAVC,-96.939444,19.453889,Coatepec,VER,147.4
COBCA,-90.507222,19.838611,Observatorio de Campeche,CAMP,0.01
COBMX,-99.631667,19.292222,Observatorio de Toluca,M…X,18.61
COIMC,-101.259167,19.629722,CoÌntzio,MICH,6.3
COMGJ,-101.474722,21.068056,Comanjilla,GTO,0
CONTP,-97.817778,25.966389,Control,TAMPS,127.52
CONYC,-89.501111,21.078889,Conkal,YUC,0
COOCP,-92.1,16.2,Observatorio de Comit·n,CHIS,13.1
CORGJ,-100.363333,20.198333,Coroneo,GTO,0.5
CORMC,-101.861667,20.207222,Corrales,MICH,0
CORTP,-98.935833,23.939167,Corona,TAMPS,79.7
CORZC,-101.389167,24.621389,ConcepciÛn del Oro,ZAC,3
COTVC,-94.4,18.1,Observatorio de Coatzacoalcos,VER,35.16
COZQR,-86.946111,20.51,Cozumel,QROO,21.6
CPEJL,-105.129722,19.9975,CajÛn de PeÒa,JAL,0
CPLPB,-98.059444,19.092778,Capulac,PUE,59
CPPTL,-98.563889,19.586111,Calpulalpan,TLAX,22.61
CQMCM,-103.804167,19.2125,Coquimatl·n,COL,0
CRDVC,-96.374444,19.364722,Cardel,VER,4.55
CRMGJ,-101.666667,20.616667,Cuer·maro,GTO,0
CRRBN,-116.696944,32.479444,El Carrizo,BC,0
CRRSI,-109.333333,26.1,El Carrizo,SIN,0
CRTGJ,-100.962778,20.487778,Cort·zar,GTO,0
CRTJL,-101.7375,21.497778,El Cuarenta,JAL,0
CSPOX,-96.658333,18.492778,Cosolapa,OAX,9.24
CSRGJ,-100.9,20.95,Cinco SeÒores,GTO,0.03
CSTGJ,-101.6675,21.195556,Los Castillos,GTO,0
CTTVC,-95.295833,18.144444,Coatotolapan,VER,33.51
CTZPB,-97.516667,20.033333,Cuetzalan del Progreso,PUE,438.012
CUACM,-103.6,19.325,CuauhtÈmoc,COL,0
CUAMR,-98.948889,18.808611,Cuautla,MOR,0.03
CUATL,-97.769722,19.298889,Cuapiaxtla,TLAX,25.5
CUAZC,-102.347222,22.453056,Ciudad CuauhtÈmoc,ZAC,0
CUEMR,-99.2,18.9,Cuernavaca,MOR,3.54
CULJL,-105.05,20.583333,Cuale,JAL,0
CUTMR,-99.375556,18.701667,Cuautlita,MOR,6.02
CVCTP,-99.166667,23.716667,Observatorio de Ciudad Victoria,TAMPS,174.9
CVTTP,-99.1875,23.730278,Ciudad Victoria,TAMPS,133.5
CXTJL,-103.45,21.066667,Cuixtla,JAL,0
CYOYC,-87.676667,21.5125,El Cuyo,YUC,0
CYQGR,-101.054444,17.376944,Coyuquilla,GRO,0
CYTCL,-103.469167,25.542222,Coyote,COAH,0.01
DBOMC,-100.421111,19.387778,El Bosque,MICH,0
DESCP,-92.575,15.204167,Despoblado,CHIS,1.7
DHGGJ,-100.933333,21.15,Dolores Hidalgo,GTO,0
DJLCM,-103.884444,19.111389,Presa derivadora Jala,COL,0
DNXMX,-99.559722,19.884722,DanxhÛ,M…X,23
DORBS,-113.457778,27.643611,DÌaz Ordaz,BCS,0
DPSOX,-96.388889,18.1525,Dique Pescaditos,OAX,3.5
ECAGR,-99.995556,17.947778,Ing. Carlos RamÌrez Ulloa,GRO,0
ECBGJ,-100.9,20.279722,El Cubo,GTO,0.01
ECBSO,-109.233333,29.2,El Cubil,SON,0
ECHGJ,-101.244444,20.872222,El ChapÌn,GTO,0.01
ECHPB,-98.275556,18.966111,EcheverrÌa,PUE,44
ECNGJ,-101.37,20.715833,El Conejo,GTO,0
ECTTL,-97.6475,19.318056,El Carmen Tequexquitla,TLAX,19.02
EFLBN,-116.828333,32.468056,El Florido,BC,0
EFTSI,-108.616667,26.433333,El Fuerte,SIN,0
EGIMC,-100.45,19.966667,El Gigante,MICH,14.3
ELAGUAJE,-92.590833,16.686111,El Aguaje SGT,CHIS,27.4
ELCZC,-103.098333,23.693333,El Cazadero,ZAC,8.92
ELNCP,-92.95,15.495833,El Novillero,CHIS,0
ELPMR,-98.786667,18.690556,El PeÒÛn,MOR,24
ELSALADOmar,-95.970833,19.040833,El Salado SEMAR,VER,4.826
ELSZC,-102.040833,22.673056,El Saladillo,ZAC,0.03
ELTRIUNFO,-92.808056,15.656667,El Triunfo SMN,CHIS,0.8
ELZBN,-116.6025,31.890278,Emilio LÛpez Zamora,BC,0.01
EMUTB,-92.916667,17.98,Villahermosa Muelle,TAB,4.8
ENBBN,-115.931389,30.517222,San QuintÌn,BC,0
ENDHD,-99.36,20.163889,EndhÛ,HGO,4.03
ENLBN,-115.15,32.411111,Observatorio de Ejido Nuevo LeÛn,BC,0
ENNTP,-99.078611,23.384444,La Encantada,TAMPS,23.5
ENRVC,-96.36,19.405833,El Naranjillo,VER,34
EOCGR,-99.516667,17.233333,El Ocotito,GRO,1.1
EPLGJ,-101.678889,21.173611,El Palote,GTO,0
EPLSO,-110.8,27.95,Observatorio de Empalme,SON,0
EPOTB,-92.814722,18.043611,El Porvenir,TAB,1
EPUQT,-100.453333,20.535,El Pueblito,QRO,0
ERCTP,-98.691667,22.605,Estudiante Ramiro Caballero Dorantes,TAMPS,27.7
ERECH,-106.119444,28.614722,El RejÛn,CHIH,0
ESCCA,-90.741111,18.604444,Esc·rcega,CAMP,0
ESCCP,-92.666667,15.316667,Escuintla,CHIS,0
ESPVC,-97.399167,20.2575,El Espinal,VER,154.11
ETEVC,-96.158333,19.068889,El Tejar,VER,10.21
EXCZC,-103.35,21.645833,Miguel Alem·n,ZAC,0
EXPJL,-103.333333,20.733333,La Experiencia,JAL,0
FCRQR,-88.045,19.575556,Observatorio de Felipe Carrillo Puerto,QROO,25
FHACP,-92.325278,15.173889,Finca Hamburgo,CHIS,18.9
FIMCH,-105.628889,28.166111,Francisco I. Madero,CHIH,0
FREZC,-102.890833,23.173889,Fresnillo,ZAC,2.5
FVLDR,-103.960833,24.001667,Francisco Villa,DGO,0
