LON,LAT,EDO,CLAVE,ESTACION,jun-23
-101.18,19.69,MICH,MORMC,"Observatorio de Morelia, Mich.",34.1
-100.44,19.89,MICH,MRVMC,"MaravatÌo, Mich.",25.7
-101.05,19.49,MICH,PDBMC,"Planta de Bombeo, Mich.",33
-101.1,18.54,MICH,PINZANESCFE,"Pinzanes CFE, Mich.",27.5
-101.6,20.3,MICH,PORMC,"Pastor OrtÌz, Mich.",14.03
-102.14,19.96,MICH,PUREPETIRO,"Presa Urepetiro SGT, Mich.",29.4
-102.72,20.07,MICH,SAHMC,"Sahuayo, Mich.",26.51
-102.46,20.21,MICH,SCRMC,"San CristÛbal, Mich.",22
-102.65,19.84,MICH,SJUMC,"San Juanico, Mich.",24
-102.4,20.1,MICH,SSIMC,"San SimÛn, Mich.",18.5
-100.23,20,MICH,TEPMC,"Tepuxtepec, Mich.",31.9
-100.23,20,MICH,TEPUXTEPECF,"Tepuxtepec FENIX, Mich.",32.9
-102.14,19.96,MICH,UREMC,"Urepetiro, Mich.",40.94
-102.18,18.05,MICH,VILMC,"JosÈ MarÌa Morelos y PavÛn, Mich.",77.01
-101.45,19.55,MICH,VJIMC,"Villa JimÈnez , Mich.",18.82
-102.28,20.33,MICH,YURECUARO,"YurÈcuaro SGT, Mich.",1
-102.24,20.34,MICH,YURMC,"YurÈcuaro, Mich.",28.1
-101.93,18.92,MICH,ZICMC,"Zicuir·n, Mich.",36.5
-98.83,18.95,MOR,ACHMR,"Achichipico, Mor.",13.3
-99.26,18.73,MOR,ALUMR,"Alpuyeca, Mor.",33.3
-99.38,18.6,MOR,AMCMR,"Amacuzac, Mor.",28.2
-98.77,18.76,MOR,AMIMR,"Amilcingo, Mor.",44.4
-99.46,18.68,MOR,APAMR,"Apacingo, Mor.",51.3
-98.93,18.95,MOR,ATLMR,"Atlatlahucan, Mor.",23.4
-98.96,18.85,MOR,CASMR,"Casasano, Mor.",24.01
-98.95,18.81,MOR,CUAMR,"Cuautla, Mor.",44.24
-99.2,18.9,MOR,CUEMR,"Cuernavaca, Mor.",37.62
-99.38,18.7,MOR,CUTMR,"Cuautlita, Mor.",14.03
-98.79,18.69,MOR,ELPMR,"El PeÒÛn, Mor.",45
-99.18,18.57,MOR,HIGMR,"HiguerÛn, Mor.",49
-99.42,18.61,MOR,HUAMR,"Huajintl·n, Mor.",19
-98.75,18.88,MOR,HUEMR,"Hueyapan, Mor.",67.01
-99.27,19.03,MOR,HUIMR,"Huitzilac, Mor.",69.03
-99.03,18.44,MOR,HUTMR,"Huautla, Mor.",5.64
-99.16,18.88,MOR,IMTMR,"Instituto Mexicano de TecnologÌa del Agua SMN, Mor.",27.63
-98.8,18.7,MOR,JNCMR,"Jonacatepec, Mor.",32.7
-99.2,18.6,MOR,JOJMR,"Jojutla, Mor.",24.4
-98.91,18.68,MOR,LCUMR,"La Cuera, Mor.",22.36
-99.4,18.7,MOR,MIAMR,"Miacatl·n, Mor.",8.7
-99,18.73,MOR,MYOMR,"Moyotepec, Mor.",16.03
-99.03,18.92,MOR,OACMR,"Oacalco, Mor.",40
-98.9,18.9,MOR,OAXMR,"Oaxtepec, Mor.",29.8
-99.22,18.91,MOR,OBSMR,"Observatorio de Cuernavaca, Mor.",46.21
-98.76,18.88,MOR,OCTMR,"Ocuituco, Mor.",21
-99.43,18.87,MOR,PAPMR,"Palpan, Mor.",27.1
-99.32,18.63,MOR,PIXMR,"Puente de Ixtla, Mor.",44.54
-99.16,18.77,MOR,PROMR,"Progreso, Mor.",34.3
-99.33,18.77,MOR,RODMR,"El Rodeo, Mor.",8
-99.19,18.92,MOR,SLDMR,"Solidaridad, Mor.",8.01
-99.04,18.58,MOR,SPHMR,"San Pablo Hidalgo, Mor.",1.1
-98.83,18.64,MOR,TEBMR,"Tepalcingo Bachillerato, Mor.",22.21
-99.22,18.86,MOR,TEMMR,"Temixco, Mor.",22.73
-98.71,18.88,MOR,TETMR,"Tetela del Volc·n, Mor.",12.8
-99.1,18.79,MOR,TICMR,"Ticum·n, Mor.",29.3
-99.31,18.49,MOR,TILMR,"Tilzapotla, Mor.",57.54
-98.75,18.81,MOR,TLOMR,"Tlacotepec, Mor.",36.91
-99.24,19.05,MOR,TMAMR,"Tres MarÌas, Mor.",58.58
-98.79,18.78,MOR,TMCMR,"Temoac, Mor.",16
-98.84,18.6,MOR,TPLMR,"Tepalcingo, Mor.",12.6
-99.25,18.61,MOR,TQGMR,"Tequesquitengo, Mor.",22.62
-99.19,18.53,MOR,XICMR,"Xicatlacotla, Mor.",17.7
-99.25,18.68,MOR,XXOMR,"Xoxocotla, Mor.",25.3
-99.05,18.9,MOR,YAHMR,"Yautepec, Mor.",56.23
-99.2,18.65,MOR,ZCTMR,"Observatorio de Zacatepec, Mor.",22.01
-105.35,22.49,NAY,ACANR,"Acaponeta, Nay.",8.22
-104.8,21.84,NAY,AGMNR,"Aguamilpa Solidaridad, Nay.",69.5
-104.5,21.94,NAY,CHPNR,"Chapalagana, Nay.",19.4
-104.45,21.43,NAY,CJNNR,"Leonardo RodrÌguez Alcaine, Nay.",0
-105.14,20.89,NAY,GAVNR,"Gaviotas, Nay.",32.01
-104.52,22.25,NAY,JMANR,"Jes˙s Maria, Nay.",41.5
-105.21,22.12,NAY,ROMNR,"Rosamorada, Nay.",11.91
-104.89,21.78,NAY,RSRNR,"San Rafael, Nay.",92
-105.14,21.96,NAY,RUINR,"Ruiz, Nay.",82.2
-105.29,21.53,NAY,SANBLASmar,"San Blas SEMAR, Nay.",7.07
-104.89,21.49,NAY,TEPNR,"Observatorio de Tepic, Nay.",30.31
-99.68,24.9,NL,ADJUNTASHUALA,"Las Adjuntas SGT, N.L.",8.1
-99.82,24.1,NL,ARRNL,"Aramberri, N.L.",4
-99.74,24.99,NL,CABNL,"Cabezones, N.L.",7.9
-99.58,24.88,NL,CAMACHO,"Camacho SGT, N.L.",8
-99.58,24.87,NL,CAMNL,"Camacho, N.L.",7.5
-99.44,24.98,NL,CARNL,"Carmen de los Elizondo Linares, N. L.",63.83
-99.28,25.71,NL,CCHNL,"Cuchillo Solidaridad, N.L.",1
-99.98,25.59,NL,CDRNL,"Cadereyta, N.L.",58.43
-99.4,24.94,NL,CPRNL,"JosÈ LÛpez Portillo, N.L.",63.51
-99.7,24.78,NL,CRUNL,"Crucitas, N.L.",8.5
-100.31,25.58,NL,ELDIENTE,"El Diente SMN, N. L.",5.6
-100.08,24.83,NL,GALNL,"Galeana, N.L.",19.5
-100.13,25.43,NL,LBCNL,"Rodrigo GÛmez, N.L.",42.8
-99.83,25.17,NL,MTMNL,"Montemorelos, N.L.",10.61
-100.3,25.73,NL,OBSNL,"Observatorio de Monterrey, N.L.",9.21
-99.22,24.99,NL,PAMNL,"La Pamona, N.L.",5.01
-100.13,25.43,NL,PLABOCA,"Presa La Boca SGT, N.L.",30
-100.55,25.03,NL,SRANL,"San Rafael, N.L.",6.51
-97.72,17.53,OAX,AMTOX,"San Antonino Monte Verde, Oax.",62.5
-96.1,17.02,OAX,AYUOX,"Ayutla, Oax.",85.3
-95.93,16.65,OAX,BOQOX,"Boquilla 1, Oax.",124.83
-98.28,17.53,OAX,CALOX,"Calihual·, Oax.",17.22
-96.26,18,OAX,CDOOX,"Miguel de la Madrid Hurtado, Oax.",83.5
-94.82,16.58,OAX,CHIOX,"Chicapa, Oax.",188.33
-96.72,15.81,OAX,COZOX,"San Francisco Cozoaltepec, Oax.",214.61
-96.66,18.49,OAX,CSPOX,"Cosolapa, Oax.",92.59
-96.39,18.15,OAX,DPSOX,"Dique Pescaditos, Oax.",90.05
-97.82,17.75,OAX,FOYOX,"San Francisco Yosocuta, Oax.",39.43
-97.78,17.81,OAX,HDLOX,"Huajuapan de LeÛn, Oax.",30.82
-97.78,17.81,OAX,HLOOX,"Observatorio de Huajuapan de LeÛn, Oax.",35.72
-96.13,15.75,OAX,HUATULCOmar,"Huatulco SEMAR, Oax.",133.35
-95.87,17.02,OAX,HUYOX,"Huayapam, Oax.",157.2
-95.05,16.5,OAX,IXTALTEPEC,"Ixtaltepec SGT, Oax.",58.6
-95.1,16.58,OAX,IXTOX,"Ixtepec, Oax.",72.63
-96.2,17.87,OAX,JACOX,"Jacatepec, Oax.",143
-95.48,17.45,OAX,MAROX,"MarÌa Lombardo, Oax.",243.71
-96.08,18.17,OAX,PAPOX,"Papaloapan, Oax.",13.13
-95.92,17.73,OAX,RMLOX,"RÌo Manso Lalana, Oax.",119.6
-96.55,17.27,OAX,SCIOX,"Ixtepeji, Oax.",77
-98.14,17.5,OAX,SLAOX,"Silacayo·pam, Oax.",51.35
-97.68,18.19,OAX,SNCOX,"Santiago Chazumba, Oax.",19.81
-96.55,18.05,OAX,STDOX,"Santo Domingo, Oax.",87.13
-97.54,17.73,OAX,STTOX,"Santiago Teotongo, Oax.",78.5
-96.41,18.23,OAX,TEMOX,"Presidente Alem·n, Oax.",66.8
-97.42,17.55,OAX,TEPOX,"San Juan Teposcolula, Oax.",66.32
-95.6,16.42,OAX,TEQOX,"Tequisistl·n, Oax.",87.73
-97.81,17.65,OAX,TSLOX,"Heroica Villa Tezoatl·n de Segura y Luna, Oax.",49.6
-96.13,18.08,OAX,TUXOX,"Tuxtepec, Oax.",0.01
-96.44,17.93,OAX,UCFOX,"Usila CFE, Oax.",186.7
-96.3,17.78,OAX,VANOX,"Valle Nacional, Oax.",64.91
