LON,LAT,EDO,CLAVE,ESTACION,oct-23
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",74
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",44.31
-103.283889,25.068056,COAH,LFLDR,"La Flor, Coah.",48.04
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",3.8
-100.954444,29.329167,COAH,LASVACASC,"Las Vacas. Ciudad Acuña, Coah. CILA*",51.4
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos Múzquiz, Coah. SMN*",38.2
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",164.4
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",33.61
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",88.42
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",109.52
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",74.22
-100.556944,28.667778,COAH,RIOESCONDIDOC,"Río Escondido Villa De Fuentes, Coah. CILA*",29
-100.634444,28.898611,COAH,RioSanRodrigoC,"Río San Rodrigo cerca El Moral, Piedras Negras Coah., CILA*",10.25
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",85.5
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",56.41
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",4.25
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",15
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",117.22
-101.213056,28.399444,COAH,SANTACECILIA,"Santa Cecilia, Coah. SMN*",49.9
-100.920833,25.436111,COAH,ESLCL,"Secretaría de Agricultura Saltillo, Coah.",60.36
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",37
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",77.01
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",342.01
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",214.4
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",455.43
-103.804167,19.2125,COL,CQMCM,"Coquimatlán, Col.",341.4
-103.6,19.325,COL,CUACM,"Cuauhtémoc, Col.",295.5
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",526.72
-114.733611,18.348611,COL,ICLARIONmar,"Isla Clarión, Col. SEMAR*",44.704
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",341
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",306.45
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",277
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",184.11
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",207.81
-103.8125,19.3275,COL,PNTCM,"Peñitas, Col.",389.6
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",363.21
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",252.62
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",688.5
-103.867778,18.911667,COL,TCMCM,"Tecomán, Col.",217.02
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",380.05
-99.174167,19.240833,DF,AMC,"Academia Mexicana de Ciencias, Cd. de Méx. UNAM*",61.11
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",90.33
