LON,LAT,EDO,CLAVE,ESTACION,may_23
-98.37,20.08,HGO,TLGHD,"Observatorio de Tulancingo, Hgo.",70.61
-99.39,19.83,HGO,TXMHD,"Taxhimay, Hgo.",42.04
-98.65,20.65,HGO,ZXTHD,"Zacualtip·n, Hgo.",11
-103.13,20.32,JAL,ACHAPALAGDL,"Acueducto Chapala Guadalajara SGT, Jal.",3.4
-103.23,22.33,JAL,ACHZC,"Achimec, Jal.",0.32
-102.44,21.6,JAL,AJJJL,"Ajoj˙car, Jal.",4
-103.09,20.4,JAL,ATQJL,"Atequiza, Jal.",9.71
-103.45,20.75,JAL,BAZJL,"Base AÈrea Zapopan, Jal.",0
-104.06,19.91,JAL,BBAJL,"Basilio Vadillo, Jal.",0
-103.72,22.41,JAL,BCSJL,"Bocas, Jal.",0.01
-103.78,21.83,JAL,BLNJL,"BolaÒos, Jal.",0
-103.47,19.7,JAL,CGZJL,"Observatorio de Ciudad Guzm·n, Jal.",5.6
-104.56,19.63,JAL,CHFJL,"El ChiflÛn, Jal",0
-102.77,19.29,JAL,CHLMC,"ConstituciÛn de Apatzing·n, Jal.",0
-104.57,19.23,JAL,CIHJL,"Cihuatl·n, Jal.",0
-105.13,20,JAL,CPEJL,"CajÛn de PeÒa, Jal.",0
-104.78,20.48,JAL,CRNJL,"Corrinchis, Jal.",0.02
-101.74,21.5,JAL,CRTJL,"El Cuarenta, Jal.",16.9
-105.05,20.58,JAL,CULJL,"Cuale, Jal.",10.9
-103.45,21.07,JAL,CXTJL,"Cuixtla, Jal.",0
-102.98,20.68,JAL,EGCJL,"Ing. ElÌas Gonz·lez Ch·vez, Jal.",4.69
-104.29,19.85,JAL,ELCJL,"El Corcovado, Jal.",0.01
-103.33,20.73,JAL,EXPJL,"La Experiencia, Jal.",3.9
-103.37,20.67,JAL,GUAJL,"Guadalajara Centro, Jal.",0
-103.39,20.71,JAL,GUCJL,"Observatorio de Guadalajara, Jal.",0
-105.18,19.65,JAL,HIGJL,"Higuera Blanca 2, Jal.",0
-103.65,20.47,JAL,HRTJL,"Hurtado, Jal.",4
-102.25,20.48,JAL,HUAJL,"Huascato, Jal.",2.01
-102.71,20.29,JAL,JMYJL,"Jamay, Jal.",10.2
