"ID_VIV","UPM","VIV_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","P1_1","P2_1","P2_2","P2_3","P2_4","FAC_VIV","DOMINIO","UPM_DIS","EST_DIS"
"0300577.05","0300577","05","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","2","02","1","","","2393.01278108402","U","0022","0007"
"0300639.01","0300639","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","03","1","","","2236.50223566902","U","0023","0007"
"0300639.02","0300639","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","04","1","","","2236.50223566902","U","0023","0007"
"0300639.03","0300639","03","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","04","1","","","2236.50223566902","U","0023","0007"
"0300639.04","0300639","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","03","1","","","2236.50223566902","U","0023","0007"
"0300639.05","0300639","05","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","05","1","","","2236.50223566902","U","0023","0007"
"0300738.01","0300738","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","04","1","","","2013.22173251793","U","0024","0008"
"0300738.02","0300738","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","04","1","","","2013.22173251793","U","0024","0008"
"0300738.04","0300738","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2013.22173251793","U","0024","0008"
"0300738.05","0300738","05","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","04","1","","","2013.22173251793","U","0024","0008"
"0300784.01","0300784","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2144.66634374322","U","0025","0008"
"0300784.02","0300784","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","03","1","","","2144.66634374322","U","0025","0008"
"0300784.04","0300784","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","2144.66634374322","U","0025","0008"
"0300784.05","0300784","05","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","04","1","","","2144.66634374322","U","0025","0008"
"0300824.03","0300824","03","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","1843.88532510988","U","0026","0008"
"0300909.01","0300909","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","03","1","","","1825.69829193204","U","0027","0007"
"0300909.02","0300909","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","01","1","","","1825.69829193204","U","0027","0007"
"0300909.04","0300909","04","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","06","1","","","1825.69829193204","U","0027","0007"
"0300909.05","0300909","05","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","05","1","","","1825.69829193204","U","0027","0007"
"0300924.01","0300924","01","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","2","02","1","","","1986.46388127507","U","0028","0007"
"0300924.02","0300924","02","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","04","2","02","02","1986.46388127507","U","0028","0007"
"0300924.03","0300924","03","03","BAJA CALIFORNIA SUR","003","LA PAZ","01","1","02","1","","","1986.46388127507","U","0028","0007"
